,Estado,Homem,Mulher
0,Acre,162,112
1,Alagoas,3375,2493
2,Amapa,132,123
3,Amazonas,1984,1663
4,Bahia,13426,9690
5,Ceara,8325,6512
6,Distrito Federal,1821,1424
7,Espirito Santo,7023,6186
8,Goias,3920,2834
9,Maranhao,3432,2433
10,Mato Grosso,5878,4475
11,Mato Grosso do Sul,2270,1790
12,Minas Gerais,16654,13361
13,Parana,10037,8694
14,Paraiba,4161,3059
15,Para,2344,1919
16,Pernambuco,8451,6175
17,Piaui,4431,2652
18,Rio Grande do Norte,430,325
19,Rio Grande do Sul,7033,5332
20,Rio de Janeiro,9840,8526
21,Rondonia,961,703
22,Roraima,387,320
23,Santa Catarina,7023,6186
24,Sergipe,2917,2187
25,Sao Paulo,56077,45685
26,Tocantins,559,401
